target,max_depth,learning_rate,n_estimators,mean_rmse,std_rmse,mean_mae,std_mae,mean_r2,std_r2
구급_교통사고,6,0.05,700,0.4894712806882653,0.02330323880008973,0.27414639604392954,0.021423221865320162,0.03260853036362546,0.02051110546821703
구급기타,6,0.05,700,0.2915207550497862,0.03412511361493624,0.11455337357045414,0.01951604462979259,0.0743990246663491,0.06665190017003496
구조_교통사고,6,0.05,700,0.21156550639224211,0.013451315357469898,0.06591860256634859,0.007699317166614331,-0.03084924037489617,0.01897877091396747
대민지원,6,0.05,700,0.047337495040753366,0.007975437425483352,0.0046843622904688045,0.0011846013250566014,-0.05431132499768582,0.026169262833332842
부상,6,0.05,700,0.6113602962908581,0.0341300303169785,0.38265078030378996,0.026066879325189925,0.12904725468232647,0.06295132618706441
산악사고,6,0.05,700,0.10773326935389803,0.01932252994782926,0.020401582205890417,0.005611267922631987,-0.12029361392516874,0.10994884965581832
상황출동,6,0.05,700,0.14190090788572546,0.023206219774966286,0.03214212987259519,0.00677724654670259,-0.0768724631399216,0.12209443865374846
수난사고,6,0.05,700,0.1648682591954233,0.022889950812945117,0.027798001527309893,0.009528127307621332,-0.21569642867986646,0.3796529773561397
업무운행,6,0.05,700,0.39773023094702253,0.1281188988729525,0.14387840528595414,0.032564424704431445,0.023215006071672484,0.02786675992652704
자연재해,6,0.05,700,0.5930657085549432,0.10812160686900964,0.07390037748746263,0.013216507684236418,0.5672079721613228,0.08202229804261418
지원출동(풍수해),6,0.05,700,0.27093698797773136,0.09466851497916333,0.006075158413190085,0.0007071557814966806,0.21622735905529075,0.14342715576575646
