idx,시점,지역동,65세이상총합,65세이상남자,65세이상여자,총인구,총인구남자,총인구여자
0,2020-05-01,가야동,7824,3464,4360,37162,18382,18780
1,2020-05-01,감만동,5313,2319,2994,21623,10936,10687
2,2020-05-01,감전동,2932,1328,1604,14051,7449,6602
3,2020-05-01,감천동,6568,2827,3741,26635,13326,13309
4,2020-05-01,강동동,1474,679,795,4594,2453,2141
5,2020-05-01,개금동,10235,4463,5772,59050,28582,30468
6,2020-05-01,거제동,11600,5038,6562,64431,31099,33332
7,2020-05-01,광복동,84,38,45,270,137,133
8,2020-05-01,광안동,13011,5512,7499,66499,30948,35551
9,2020-05-01,괘법동,3375,1627,1748,21856,11310,10546
10,2020-05-01,괴정동,13685,5949,7736,59949,29125,30824
11,2020-05-01,구랑동,18,8,10,176,94,81
12,2020-05-01,구서동,9215,4029,5186,53680,25656,28024
13,2020-05-01,구평동,1546,724,822,11770,5998,5772
14,2020-05-01,구포동,10726,4921,5805,62329,31943,30386
15,2020-05-01,금곡동,8119,3313,4806,39713,19280,20433
16,2020-05-01,금사동,1593,752,841,5986,3151,2835
17,2020-05-01,금성동,268,117,151,1102,538,564
18,2020-05-01,기장읍,10792,4431,6361,53945,26301,27644
19,2020-05-01,낙민동,3561,1568,1993,20261,9931,10331
20,2020-05-01,남부민동,4675,2000,2675,14874,7478,7396
21,2020-05-01,남산동,6176,2679,3497,30126,14754,15372
22,2020-05-01,남천동,5239,2230,3009,26563,12300,14263
23,2020-05-01,남포동,325,152,173,1042,575,467
24,2020-05-01,남항동,1060,441,620,3607,1796,1811
25,2020-05-01,노포동,212,98,113,821,404,417
26,2020-05-01,녹산동,139,63,75,1321,709,614
27,2020-05-01,눌차동,165,76,89,550,290,260
28,2020-05-01,다대동,11605,5046,6559,69337,34498,34839
29,2020-05-01,당감동,9247,3871,5376,46815,22594,24221
30,2020-05-01,당리동,5120,2392,2728,27907,13723,14184
31,2020-05-01,대교동,1060,441,619,3606,1796,1810
32,2020-05-01,대연동,15788,6927,8861,95320,46431,48889
33,2020-05-01,대저1동,2187,1074,1113,6845,3793,3052
34,2020-05-01,대저2동,1645,769,876,7276,4041,3235
35,2020-05-01,대창동,85,39,46,271,138,134
36,2020-05-01,대청동,1630,655,975,6590,3119,3471
37,2020-05-01,대평동,1060,440,619,3606,1796,1810
38,2020-05-01,대항동,132,61,71,440,232,208
39,2020-05-01,덕천동,8397,3510,4887,37127,18322,18805
40,2020-05-01,덕포동,4081,1855,2226,22599,11515,11084
41,2020-05-01,동광동,956,435,521,2973,1487,1486
42,2020-05-01,동대신동,5188,2177,3011,19770,9439,10331
43,2020-05-01,동삼동,10637,4583,6054,43573,21386,22187
44,2020-05-01,동선동,299,139,161,992,522,470
